LLAVE|Longitud|Latitud
CUNDINAMARCA-GUAYABETAL|-73.815094|4.215297
CUNDINAMARCA-GUTIERREZ|-74.003042|4.254679
CUNDINAMARCA-JERUSALEN|-74.695419|4.562308
CUNDINAMARCA-JUNIN|-73.662925|4.790380
CUNDINAMARCA-LA CALERA|-73.969745|4.720345
CUNDINAMARCA-LA MESA|-74.461545|4.631044
CUNDINAMARCA-LA PALMA|-74.391020|5.358817
CUNDINAMARCA-LA PEÑA|-74.393089|5.200211
CUNDINAMARCA-LA VEGA|-74.331138|4.993077
CUNDINAMARCA-LENGUAZAQUE|-73.711494|5.306143
CUNDINAMARCA-MACHETA|-73.608325|5.080199
CUNDINAMARCA-MADRID|-74.265626|4.736130
